,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
457,2021-06-30 14:19,TheFatRat,We'll Meet Again,195625,TheFatRat:We'll Meet Again,0,,
458,2021-06-30 14:22,Imagine Dragons,Follow You,175643,Imagine Dragons:Follow You,0,,
459,2021-06-30 14:25,VIZE,Space Melody (Edward Artemyev) (feat. Leony),180151,VIZE:Space Melody (Edward Artemyev) (feat. Leony),0,,
460,2021-06-30 14:28,Axel Johansson,Next To Me (feat. Tina Stachowiak),179500,Axel Johansson:Next To Me (feat. Tina Stachowiak),0,,
461,2021-06-30 14:31,Alan Walker,"Alone, Pt. II",179052,"Alan Walker:Alone, Pt. II",1,"Alone, Pt. II",0bMbDctzMmTyK2j74j3nF3
462,2021-06-30 14:34,Bebe Rexha,Sacrifice,160871,Bebe Rexha:Sacrifice,0,,
463,2021-06-30 14:38,ILLENIUM,Nightlight,222400,ILLENIUM:Nightlight,0,,
464,2021-06-30 14:41,Au/Ra,Dead Girl! (Shake My Head),194790,Au/Ra:Dead Girl! (Shake My Head),0,,
465,2021-06-30 14:44,LUM!X,Monster,154226,LUM!X:Monster,0,,
466,2021-06-30 14:47,Alan Walker,Sweet Dreams,138819,Alan Walker:Sweet Dreams,1,Sweet Dreams,4uDhts78RdwIDjEqPrYVKp
467,2021-06-30 14:51,Zedd,Funny,221465,Zedd:Funny,0,,
468,2021-06-30 14:53,Axel Johansson,One,164571,Axel Johansson:One,0,,
469,2021-06-30 14:57,ILLENIUM,Hearts on Fire,236317,ILLENIUM:Hearts on Fire,0,,
470,2021-06-30 15:00,Ruben,Dear God,179877,Ruben:Dear God,0,,
471,2021-06-30 15:03,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
472,2021-06-30 15:05,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
473,2021-06-30 15:08,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
474,2021-06-30 15:11,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
475,2021-06-30 15:13,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
476,2021-06-30 15:16,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
477,2021-06-30 15:18,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
478,2021-06-30 15:21,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
479,2021-06-30 15:23,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
480,2021-06-30 15:26,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
481,2021-06-30 15:28,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
482,2021-06-30 15:31,Alan Walker,Time - Alan Walker Remix,150895,Alan Walker:Time - Alan Walker Remix,0,,
483,2021-06-30 18:56,Imagine Dragons,Bad Liar – Stripped,64570,Imagine Dragons:Bad Liar – Stripped,1,Bad Liar – Stripped,6hFi0gXP8KItwMqfBgf44b
484,2021-06-30 18:56,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),20120,Maroon 5:Beautiful Mistakes (feat. Megan Thee Stallion),0,,
485,2021-06-30 18:56,Serhat Durmus,Hislerim,7220,Serhat Durmus:Hislerim,1,Hislerim,32Mh7kOCWmNTZgre0cGvCV
486,2021-06-30 18:57,Surf Mesa,ily (i love you baby) (feat. Emilee),36170,Surf Mesa:ily (i love you baby) (feat. Emilee),1,ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS
487,2021-06-30 19:00,Imagine Dragons,Radioactive,186813,Imagine Dragons:Radioactive,1,Night Visions,62yJjFtgkhUrXktIoSjgP2
488,2021-06-30 19:01,Julius Dreisig,Can't Get Enough,8780,Julius Dreisig:Can't Get Enough,0,,
489,2021-06-30 19:01,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",13130,"benny blanco:I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",0,,
490,2021-06-30 19:01,R3HAB,Be Okay (with HRVY),12280,R3HAB:Be Okay (with HRVY),0,,
491,2021-06-30 19:01,Imagine Dragons,Bad Liar,19796,Imagine Dragons:Bad Liar,1,Origins,2RSHsoi04658QL5xgQVov3
492,2021-07-02 16:56,Lewis Capaldi,Someone You Loved,16000,Lewis Capaldi:Someone You Loved,0,,
493,2021-07-02 16:56,Marshmello,FRIENDS,14570,Marshmello:FRIENDS,0,,
494,2021-07-02 16:57,Maroon 5,Animals,39430,Maroon 5:Animals,1,V,3h4T9Bg8OVSUYa6danHeH5
495,2021-07-03 07:28,Maroon 5,Animals,234043,Maroon 5:Animals,1,V,3h4T9Bg8OVSUYa6danHeH5
496,2021-07-03 07:32,One Direction,Story of My Life,245493,One Direction:Story of My Life,0,,
497,2021-07-03 07:35,Imagine Dragons,Demons,158003,Imagine Dragons:Demons,0,,
498,2021-07-08 17:38,24kGoldn,VALENTINO - Imanbek Remix,13750,24kGoldn:VALENTINO - Imanbek Remix,0,,
499,2021-07-08 17:39,The Weeknd,The Hills,10260,The Weeknd:The Hills,0,,
500,2021-07-08 17:39,Y2K,Lalala - Ilkan Gunuc Remix,39210,Y2K:Lalala - Ilkan Gunuc Remix,0,,
501,2021-07-08 17:40,Post Malone,Ball For Me (feat. Nicki Minaj),56080,Post Malone:Ball For Me (feat. Nicki Minaj),0,,
502,2021-07-08 17:40,Juice WRLD,Lucid Dreams,2630,Juice WRLD:Lucid Dreams,0,,
503,2021-07-08 17:41,24kGoldn,Company (feat. Future),25860,24kGoldn:Company (feat. Future),0,,
504,2021-07-08 17:42,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),77610,Maroon 5:Beautiful Mistakes (feat. Megan Thee Stallion),0,,
505,2021-07-08 17:46,Maroon 5,Animals,231013,Maroon 5:Animals,1,V,3h4T9Bg8OVSUYa6danHeH5
506,2021-07-08 17:49,Imagine Dragons,On Top Of The World,174426,Imagine Dragons:On Top Of The World,0,,
507,2021-07-08 17:49,Imagine Dragons,Bad Liar,2400,Imagine Dragons:Bad Liar,1,Origins,2RSHsoi04658QL5xgQVov3
508,2021-07-09 05:29,Alan Walker,Sweet Dreams,138819,Alan Walker:Sweet Dreams,1,Sweet Dreams,4uDhts78RdwIDjEqPrYVKp
509,2021-07-09 05:32,Serhat Durmus,Hislerim,214204,Serhat Durmus:Hislerim,1,Hislerim,32Mh7kOCWmNTZgre0cGvCV
510,2021-07-09 05:35,Selena Gomez,Lose You To Love Me,96070,Selena Gomez:Lose You To Love Me,1,Rare,4l0Mvzj72xxOpRrp6h8nHi
511,2021-07-12 07:53,Surf Mesa,ily (i love you baby) (feat. Emilee),176546,Surf Mesa:ily (i love you baby) (feat. Emilee),1,ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS
512,2021-07-12 07:54,MOTi,Friday (feat. JGUAR),39353,MOTi:Friday (feat. JGUAR),0,,
513,2021-07-12 07:54,Krewella,Good On You,2430,Krewella:Good On You,0,,
514,2021-07-12 07:56,R3HAB,Flames (with ZAYN),155526,R3HAB:Flames (with ZAYN),0,,
515,2021-07-12 07:59,Martin Garrix,Drown (feat. Clinton Kane),174062,Martin Garrix:Drown (feat. Clinton Kane),0,,
516,2021-07-12 08:00,Becky Hill,Better Off Without You (feat. Shift K3Y),48181,Becky Hill:Better Off Without You (feat. Shift K3Y),0,,
517,2021-07-12 08:00,Steve Aoki,Maldad,15950,Steve Aoki:Maldad,0,,
